OBJECTID,NAME,WARD,DATASOURCE,ID,sourceCountry,ENRICH_FID,aggregationMethod,populationToPolygonSizeRating,apportionmentConfidence,HasData,HINC0_CY,HINC15_CY,HINC25_CY,HINC35_CY,HINC50_CY,HINC75_CY,HINC100_CY,HINC150_CY,HINC200_CY,AGGINC_CY,AGGHINC_CY,HINCBASECY,MEDHINC_CY,ACSSNAP,AVGHINC_CY,PCI_CY,AVGIA15_CY,AVGIA25_CY,AVGIA35_CY,AVGIA45_CY,AVGIA55_CY,AVGIA65_CY,AVGIA75_CY,DI0_CY,DI15_CY,DI25_CY,DI35_CY,DI50_CY,DI75_CY,DI100_CY,DI150_CY,DI200_CY,MEDDI_CY,AGGDI_CY,AVGDI_CY,DIBASE_CY,A15I0_CY,A15I15_CY,A15I25_CY,A15I35_CY,A15I50_CY,A15I75_CY,A15I100_CY,A15I150_CY,A15I200_CY,MEDIA15_CY,AGGIA15_CY,IA15BASECY,A25I0_CY,A25I15_CY,A25I25_CY,A25I35_CY,A25I50_CY,A25I75_CY,A25I100_CY,A25I150_CY,A25I200_CY,MEDIA25_CY,AGGIA25_CY,IA25BASECY,A35I0_CY,A35I15_CY,A35I25_CY,A35I35_CY,A35I50_CY,A35I75_CY,A35I100_CY,A35I150_CY,A35I200_CY,MEDIA35_CY,AGGIA35_CY,IA35BASECY,A45I0_CY,A45I15_CY,A45I25_CY,A45I35_CY,A45I50_CY,A45I75_CY,A45I100_CY,A45I150_CY,A45I200_CY,MEDIA45_CY,AGGIA45_CY,IA45BASECY,A55I0_CY,A55I15_CY,A55I25_CY,A55I35_CY,A55I50_CY,A55I75_CY,A55I100_CY,A55I150_CY,A55I200_CY,MEDIA55_CY,AGGIA55_CY,IA55BASECY,A65I0_CY,A65I15_CY,A65I25_CY,A65I35_CY,A65I50_CY,A65I75_CY,A65I100_CY,A65I150_CY,A65I200_CY,MEDIA65_CY,AGGIA65_CY,IA65BASECY,A75I0_CY,A75I15_CY,A75I25_CY,A75I35_CY,A75I50_CY,A75I75_CY,A75I100_CY,A75I150_CY,A75I200_CY,MEDIA75_CY,AGGIA75_CY,IA75BASECY,MEDHHR_CY,IA55UBASCY,MEDIA55UCY,AVGIA55UCY,IA65UBASCY,MEDIA65UCY,AVGIA65UCY,MEDDIA15CY,AVGDIA15CY,AGGDIA15CY,MEDDIA25CY,AVGDIA25CY,AGGDIA25CY,MEDDIA35CY,AVGDIA35CY,AGGDIA35CY,MEDDIA45CY,AVGDIA45CY,AGGDIA45CY,MEDDIA55CY,AVGDIA55CY,AGGDIA55CY,MEDDIA65CY,AVGDIA65CY,AGGDIA65CY,MEDDIA75CY,AVGDIA75CY,AGGDIA75CY,ID_1,sourceCountry_1,ENRICH_FID_1,aggregationMethod_1,populationToPolygonSizeRating_1,apportionmentConfidence_1,HasData_1,TOTHH_CY,WLTHINDXCY
1,A Mountain,1,NEIGHBORHOODS,0,US,1,BlockApportionment:US.BlockGroups,2.191,2.576,1,125,132,221,200,222,161,42,0,0,52373044,52360556,1103,39293,399,47471,15189,41340,50125,50201,53365,48538,38260,33494,149,179,226,214,262,57,16,0,0,34845,44031105,39919,1103,18,16,32,22,14,18,1,0,0,32636,5002117,121,30,30,74,38,58,56,14,0,0,40222,15037500,300,19,16,40,35,39,31,9,0,0,42005,9488041,189,16,14,29,26,45,29,10,0,0,49609,9018743,169,21,15,22,32,50,17,6,0,0,44878,7911646,163,15,16,18,39,13,4,2,0,0,35915,4093835,107,6,25,6,8,3,6,0,0,0,22366,1808674,54,41.9,324,37352,42636,161,32123,36662,28686,34471,4171045,36415,40940,12282090,38795,43216,8167900,41710,46278,7820965,36170,40198,6552335,28361,32211,3446610,21694,29447,1590160,0,US,1,BlockApportionment:US.BlockGroups,2.191,2.576,1,1103,32
2,Adelanto,3,NEIGHBORHOODS,1,US,2,BlockApportionment:US.BlockGroups,2.191,2.576,1,27,19,14,31,8,9,8,1,0,4580747,4808828,117,33635,58,41101,11776,30306,50489,42133,50735,39456,39028,17603,30,21,23,20,13,7,4,0,0,27678,4080019,34872,117,3,2,1,2,0,0,0,0,0,18750,272751,9,5,3,3,3,2,4,3,0,0,36896,1161251,23,4,3,3,4,1,1,1,0,0,29142,758397,18,4,2,2,6,2,2,3,0,0,39583,1065444,21,4,3,3,7,2,1,1,0,0,35579,828568,21,1,3,1,8,0,0,0,0,0,37812,546385,14,4,4,0,1,0,0,0,0,0,15510,176033,10,48.8,45,30627,36069,24,22808,32837,15000,24497,220477,35000,41706,959231,29142,36073,649320,33333,43779,919358,28901,33852,710884,27786,33296,466151,15000,15460,154598,1,US,2,BlockApportionment:US.BlockGroups,2.191,2.576,1,117,28
3,Alvernon Heights,5,NEIGHBORHOODS,2,US,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,25,19,11,19,14,5,7,0,0,4042835,3857289,99,29762,49,38963,12634,28708,40849,42985,42769,39720,32907,27799,28,19,15,18,12,5,3,0,0,26517,3345681,33795,99,3,1,1,1,1,0,0,0,0,19014,172246,6,6,4,3,4,3,1,2,0,0,29257,939521,23,5,3,2,3,2,1,2,0,0,29305,773729,18,5,3,2,3,4,1,2,0,0,35000,812614,19,3,3,2,3,3,1,1,0,0,35000,635518,16,2,2,1,3,1,0,0,0,0,29305,329072,10,1,4,1,1,0,0,0,0,0,19272,194590,7,46.3,33,26975,36224,17,22392,32729,15000,27345,164072,27703,34941,803652,29305,37062,667116,29188,38186,725534,29084,33956,543298,26079,26937,269373,19272,24662,172634,2,US,3,BlockApportionment:US.BlockGroups,2.191,2.576,1,99,26
4,Amphi,3,NEIGHBORHOODS,3,US,4,BlockApportionment:US.BlockGroups,2.191,2.576,1,1102,709,406,277,359,148,80,25,0,97327371,97304064,3105,20213,1158,31338,13040,23417,36197,33688,34808,28830,25552,23020,1236,707,375,320,337,76,53,1,0,18310,83627991,26933,3105,159,91,49,19,20,12,3,1,0,16228,8242717,352,239,155,124,62,102,54,37,6,0,24565,28197620,779,174,103,72,51,65,31,14,6,0,22417,17315628,514,176,91,69,57,92,21,16,6,0,24517,18378514,528,200,117,53,46,64,20,9,2,0,18556,14703046,510,106,96,27,33,16,5,3,4,0,17690,7358893,288,49,56,13,8,2,5,0,2,0,16870,3107646,135,43.2,933,17917,26891,423,17389,24627,14915,19993,7037459,21715,30189,23517369,19885,29340,15080683,21814,30848,16287909,17442,24716,12605343,16381,22008,6338310,16386,20451,2760918,3,US,4,BlockApportionment:US.BlockGroups,2.191,2.576,1,3105,20
5,Armory Park,6,NEIGHBORHOODS,4,US,5,BlockApportionment:US.BlockGroups,2.191,2.576,1,366,131,80,205,149,78,88,58,69,72003203,76143162,1223,36870,112,62259,37424,34836,61273,79380,92393,68684,52762,31131,391,132,128,191,149,67,96,37,33,31358,59945283,49015,1223,33,14,6,12,14,1,0,1,1,19662,2856530,82,60,29,23,61,39,18,20,13,12,39837,16850159,275,41,14,17,36,34,16,17,9,19,46458,16114124,203,31,9,8,26,20,10,18,9,19,50887,13858904,150,44,13,8,27,24,18,14,11,9,44460,11538936,168,72,20,12,35,14,9,18,6,7,28223,10130394,192,86,32,6,8,5,6,1,9,2,13517,4794115,154,48.5,514,23119,51286,346,17263,42887,18608,29074,2384070,36763,47170,12971803,42899,60846,12351777,45939,73301,10995166,36970,55135,9262743,24667,42677,8193973,12750,24583,3785750,4,US,5,BlockApportionment:US.BlockGroups,2.191,2.576,1,1223,48
6,Arroyo Chico,5,NEIGHBORHOODS,5,US,6,BlockApportionment:US.BlockGroups,2.191,2.576,1,255,176,117,160,173,209,106,23,25,72904032,70515152,1244,40806,189,56684,24229,37195,63866,64269,67569,66457,47651,28293,283,186,146,163,262,110,68,14,11,35435,57288307,46052,1244,20,7,7,7,6,8,1,0,0,26092,2045743,55,36,22,17,28,35,38,19,3,7,49642,13156421,206,28,19,19,21,38,45,19,3,4,55293,12596782,196,32,20,17,20,31,44,23,5,6,56183,13378632,198,36,33,18,27,41,42,28,8,7,52577,16016083,241,40,31,18,37,16,23,12,3,2,35539,8624798,181,62,43,21,20,6,9,5,0,0,18616,4696693,166,53.3,588,33257,49894,347,24591,38280,22011,31373,1725513,41862,49251,10145669,48626,52252,10241363,50134,55409,10970961,41351,53114,12800371,28118,40020,7243618,17657,25065,4160813,5,US,6,BlockApportionment:US.BlockGroups,2.191,2.576,1,1244,45
7,Avondale,6,NEIGHBORHOODS,6,US,7,BlockApportionment:US.BlockGroups,2.191,2.576,1,195,175,107,96,102,58,63,5,16,38808511,37716664,818,27928,197,46108,23722,41916,52121,56748,49161,52585,39259,23777,223,182,111,98,107,50,29,9,9,25263,31479453,38483,818,8,11,5,4,2,3,1,0,1,22906,1425133,34,23,20,22,16,23,13,11,2,2,35695,6932044,133,16,15,16,14,12,11,21,0,1,40309,6015247,106,25,16,20,18,23,10,6,2,2,35000,5997631,122,52,31,25,20,22,9,11,0,10,27206,9517955,181,34,33,12,20,16,7,11,1,0,25000,5260698,134,36,49,8,4,4,5,1,0,0,16970,2567956,108,55.8,422,21883,41203,242,19724,32484,19993,39253,1334614,34053,42225,5615954,37916,48451,5135825,30375,41759,5094599,23463,41051,7430317,22456,33815,4531164,16473,21639,2336979,6,US,7,BlockApportionment:US.BlockGroups,2.191,2.576,1,818,33
8,Balboa Heights,3,NEIGHBORHOODS,7,US,8,BlockApportionment:US.BlockGroups,2.191,2.576,1,334,135,96,78,64,7,13,0,2,18398870,18768528,728,16547,273,25781,11901,19589,29998,27680,30603,24554,18339,15604,358,140,93,76,46,8,5,1,1,15266,16446020,22591,728,54,22,11,5,6,1,0,0,0,13750,1939307,99,75,25,28,13,15,2,5,0,2,17195,4979594,166,47,20,16,15,12,3,2,0,0,19183,3210870,116,49,15,17,21,20,1,3,0,0,24075,3856025,126,59,22,17,17,11,0,2,0,0,16579,3142854,128,37,21,4,5,1,0,1,0,0,13986,1265389,69,13,9,2,0,0,0,0,0,0,13846,374488,24,43.5,221,15166,21641,93,13950,17633,12802,17245,1707295,14735,25330,4204777,17529,24541,2846784,21066,27261,3434892,15696,21333,2730596,12500,16777,1157604,13846,15170,364071,7,US,8,BlockApportionment:US.BlockGroups,2.191,2.576,1,728,16
9,Barrio Anita,1,NEIGHBORHOODS,8,US,9,BlockApportionment:US.BlockGroups,2.191,2.576,1,15,23,9,33,15,12,9,6,2,8299274,7136693,125,40183,17,57094,22310,31782,53579,72249,77219,65823,45907,27579,20,21,18,27,19,9,9,1,1,36317,5727963,45824,125,3,3,0,3,1,1,0,0,0,22540,349604,11,3,5,3,8,5,3,2,1,0,40838,1607359,30,3,3,2,5,3,3,3,2,1,47953,1733973,24,2,2,1,5,2,2,2,2,1,47865,1389949,18,2,2,0,5,3,2,2,1,0,47822,1118996,17,2,3,2,6,1,1,1,0,0,36364,688599,15,2,5,2,2,0,0,0,0,0,20456,248214,9,43.8,42,36420,46723,24,28027,34697,20393,28494,313433,37799,42963,1288897,46026,58042,1393007,42985,61270,1102859,41005,49479,841142,30290,38079,571182,19160,24160,217442,8,US,9,BlockApportionment:US.BlockGroups,2.191,2.576,1,125,41
10,Barrio Blue Moon,3,NEIGHBORHOODS,9,US,10,BlockApportionment:US.BlockGroups,2.191,2.576,1,373,136,30,50,32,17,9,3,8,14801545,16695799,658,13231,212,25374,15483,20521,36513,54939,32934,17969,15980,13126,398,121,39,44,31,10,7,4,3,12381,13732886,20871,658,54,38,4,8,3,3,1,0,0,15187,2298351,112,23,15,6,9,8,3,2,0,1,20950,2482904,68,24,13,4,9,4,3,2,1,5,20476,3516102,64,51,14,6,9,8,3,3,1,2,14265,3194636,97,107,23,6,7,6,3,1,0,0,10724,2785196,155,74,21,2,6,2,1,0,0,0,10743,1709833,107,39,11,2,2,0,0,0,0,0,10385,708777,54,53.7,316,10670,16626,161,10619,15116,13669,17958,2011296,18521,28772,1956480,19246,40319,2580420,13726,27404,2658210,10500,15474,2398504,10192,13809,1477553,10125,12045,650423,9,US,10,BlockApportionment:US.BlockGroups,2.191,2.576,1,658,16
