OBJECTID,Neighborhood Name,Primary Ward,HasData,ORIGINAL_OID,Percent Minority Population,Total Population,Population Under 200% of Poverty,Population for which poverty status is determined,"Percent Non-Working Age (0-17, 65+)",Percent Seniors,Percent Children,Percent Unemployed,KeyField,HeatSeverity,PCTTreeCover,AREASqKm,PopDensity,PopAdjFactor,GOAL,GAP,GapScore,PriorityIndex,TreeEquityScore,PCTPoverty,Status,TES,AreaSqMi,PopDens_SqMi,PriorityCategory,Shape__Area,Shape__Length,Percent Working Age (18-64)
1,Longview Estates,2,1,111,45.52,1105,854,1265,41.99,20.54,21.45,10.93,111,3.96368715083799,8.1291641594774,0.659773342263094,1674.81759146214,1.2,18,9.8708358405226,56.6093079655833,0.382080822933697,78.3706690268028,32.4901185770751,02 Upper-Moderate Priority,64 - 79,0.254739911629533,4337.75764830678,High Priority,7141845.5897522,10707.9394199712,58.01
2,Silvercroft,1,1,68,91.18,340,112,360,39.71,10.59,29.12,25.27,68,5.90780141843972,9.97457107790372,0.256329343138108,1326.41856697932,1.2,18,8.02542892209628,46.0258872447011,0.694139968812454,68.0515920633977,68.8888888888889,02 Upper-Moderate Priority,64 - 79,0.098969312696138,3435.40831736288,High Priority,2759055.98202515,7826.91957832356,60.29
3,Saguaro Hill,6,1,414,38.05,318,143,239,39.31,23.58,16.04,16.76,414,4.74011299435028,13.6534002647677,0.163608548394748,1943.66372124238,1.2,18,4.3465997352323,24.9277778488372,0.446051032832218,88.8809389443141,40.1673640167364,03 Low-Moderate Priority,79 - 89,0.0631696136993427,5034.06592786096,Moderate Priority,1761114.41351318,6656.65349130166,60.69
4,Balboa Heights,3,1,5,74.56,1576,657,1604,33.57,8.69,24.94,22.17,5,5.55165692007797,9.67651649234227,0.466993128874638,3374.78198833,1,15,5.32348350765773,30.5302126591485,0.629535034657646,80.7801615155176,59.0399002493766,03 Low-Moderate Priority,79 - 89,0.18030705510632,8740.64522361974,Moderate Priority,5026643.63137817,9108.3487413744,66.43
5,Plaza Del Sol,1,1,171,92.43,1902,564,1719,38.28,5.15,33.12,16.48,171,4.41189931350114,9.39262134372795,0.39296776129161,4840.09170052141,0.8,12,2.60737865627205,14.9533336102952,0.606744371315522,90.9271489995502,67.1902268760907,04 Low Priority,89 - 99,0.151725700891757,12535.7799556775,Low Priority,4229830.90087891,10599.6944489841,61.72
6,Rieckers,5,1,205,0,0,0,0,0,0,0,0,205,5.96648044692737,4.83449293383797,0.159998086309836,0,1.2,18,13.165507066162,,,,,,,0.0617756064948776,0,,1718785.89822388,5851.6602706416,0
7,Rose Hill,2,1,384,26.65,544,218,255,52.39,39.52,12.68,13.62,384,4.09487179487179,12.9227173858148,0.344420967793749,1579.46249174285,1.2,18,5.0772826141852,29.1182489282989,0.294704366735015,91.4187248891531,14.5098039215686,04 Low Priority,89 - 99,0.13298167912982,4090.78907380117,Low Priority,3707486.4805603,8316.79887712439,47.61
8,Casitas De Palo Santo,1,1,245,62.28,448,313,463,33.04,16.52,16.74,11.27,245,8.14367816091954,9.46338273974276,0.31944775999965,1402.42022670777,1.2,18,8.53661726025724,48.9575557002304,0.548103858144167,73.1661748353958,32.3974082073434,02 Upper-Moderate Priority,64 - 79,0.123339469693338,3632.2517123989,High Priority,3441784.8196106,7707.87126809098,66.96
9,Eastern Hills,2,1,430,37.52,1567,1018,1453,38.29,17.17,21.12,12.16,430,3.61950549450549,6.66290344448509,0.650596987609793,2408.55710961243,1,15,8.33709655551491,47.8133031563981,0.369890412398943,82.3143175773242,29.9380591878871,03 Low-Moderate Priority,79 - 89,0.251196901289974,6238.13427615138,Moderate Priority,7003433.32131958,10587.6721365706,61.71
10,Del Lago,4,0,319,0,0,0,0,0,0,0,0,319,6.43388429752066,0.262065113680797,1.74010953110359,0,1.2,18,17.7379348863192,,,,,,,0.671860046147657,0,,18708917.1149292,19557.6911879189,0
